 24 -1.3862943611198906 {da7aa0eafa0af8fe09f370a1e502767c,13fdecdd67908944914f0dc7655cb079,a94d0a41a0726663b117bf2886aada34,c50a7d7e8aee842c8290f4443c45c2a5,4a554b88320fe60ec46ef9d8b407a94e,776c949bbe02abc97b887f3cd921ec91,}
axe 4 -0.6931471805599453 {d8e8ef2e1f1b7af67aa79bec9924fbfe,c50a7d7e8aee842c8290f4443c45c2a5,}
foul 2 -0.6931471805599453 {b2c2b6f7e5f387f2c3c58c1442dbeec1,}
penalt 2 -0.6931471805599453 {f25efce6bdae42ff938c88ccb10fe2d1,}
william 2 -0.6931471805599453 {b5e00e099dc686af737bee4c07bccd9b,}
mov 2 -0.6931471805599453 {4040672786e30bfe43f206db72bcb446,}
pel 2 -0.6931471805599453 {83f704c10f7ab2687efda937c1ecc3a1,}
sight 2 -0.6931471805599453 {c2a6c54a31681cfd555897e0e6f5916e,}
cascarino 2 -0.6931471805599453 {8468b93222067154f790478b24dd614b,}
block 2 -0.6931471805599453 {4040672786e30bfe43f206db72bcb446,}
flow 2 -0.6931471805599453 {a65e7cc47deef437b5a488ca23b94514,}
blackburn 2 -0.6931471805599453 {df2e22dc011c5f32df53d60973798acd,}
leicest 2 -0.6931471805599453 {752b8542402a0106a24dd1bc36946a0a,}
newcastl 2 -0.6931471805599453 {c9f51f6c52ca5825fadbb639c9886cc7,}
work 4 -0.6931471805599453 {75a1937faf0808e50acaf4c00c3acf66,3ed9900e88649c37a08dc45d6fcd2f4f,}
hodgson 2 -0.6931471805599453 {b11d8ebe8e64c8c6ec61db990640a546,}
tough 2 -0.6931471805599453 {85daa8de85208a1f00f4ee99a9bb324d,}
manag 2 -0.6931471805599453 {f1eda0d27ff74a7258b73700f9120f94,}
weng 2 -0.6931471805599453 {175ad5dd653e3127d236b4c71555db72,}
connor 2 -0.6931471805599453 {7e86c9d1ac1541f48e32ce2ddc81392c,}
chris 2 -0.6931471805599453 {21864981a37c6664e201f47d4d1a702b,}
leinst 2 -0.6931471805599453 {0a7120a23c6e9ad743b684f688f9bcae,}
futur 2 -0.6931471805599453 {e0cc4d39d3b5b9ae53a9fcfd9fd2640c,}
betrayed 2 -0.6931471805599453 {13fdecdd67908944914f0dc7655cb079,}
spot 2 -0.6931471805599453 {00ccc065c065fcf583880a46e2603891,}
john 2 -0.6931471805599453 {e0cc4d39d3b5b9ae53a9fcfd9fd2640c,}
coach 4 -0.6931471805599453 {776c949bbe02abc97b887f3cd921ec91,4040672786e30bfe43f206db72bcb446,}
jimmy 2 -0.6931471805599453 {3ed9900e88649c37a08dc45d6fcd2f4f,}
bristol 2 -0.6931471805599453 {4040672786e30bfe43f206db72bcb446,}
afric 4 -0.6931471805599453 {00ccc065c065fcf583880a46e2603891,80018d3988d37a96375d6f620ad68bf1,}
wait 2 -0.6931471805599453 {13b362449b10dcbe6c93fae705764c28,}
compton 4 -0.6931471805599453 {b23dc44babe2734d1f7e7a698d83e594,d4f6a813c68303fcbb1c6259e8a4669c,}
south 4 -0.6931471805599453 {00ccc065c065fcf583880a46e2603891,80018d3988d37a96375d6f620ad68bf1,}
jo 2 -0.6931471805599453 {d4f6a813c68303fcbb1c6259e8a4669c,}
irish 2 -0.6931471805599453 {540cd77abefe37a48f3c7640d46ee897,}
eddi 6 -0.6931471805599453 {c2a6c54a31681cfd555897e0e6f5916e,d8e8ef2e1f1b7af67aa79bec9924fbfe,f586fbc827d29c29fa1811c888cda09f,}
secret 2 -0.6931471805599453 {776c949bbe02abc97b887f3cd921ec91,}
usain 2 -0.6931471805599453 {a6dfc4b5afc3f7e7b64720e7c4f26752,}
remind 2 -0.6931471805599453 {c9f51f6c52ca5825fadbb639c9886cc7,}
gain 4 -0.6931471805599453 {efa3299b77b23f2d3a8ac18a03df23fe,a94d0a41a0726663b117bf2886aada34,}
nick 4 -0.6931471805599453 {b23dc44babe2734d1f7e7a698d83e594,d4f6a813c68303fcbb1c6259e8a4669c,}
finishing 2 -0.6931471805599453 {7e86c9d1ac1541f48e32ce2ddc81392c,}
los 2 -0.6931471805599453 {b5e00e099dc686af737bee4c07bccd9b,}
top 2 -0.6931471805599453 {e0cc4d39d3b5b9ae53a9fcfd9fd2640c,}
web 2 -0.6931471805599453 {26b9b1544474525e7de17688d2237802,}
mak 2 -0.6931471805599453 {efa3299b77b23f2d3a8ac18a03df23fe,}
get 4 -0.6931471805599453 {de651deb380cec460a13d2d454d5e452,1483298f2a480c90e9172daeecadd0a2,}
leav 2 -0.6931471805599453 {e0cc4d39d3b5b9ae53a9fcfd9fd2640c,}
prov 4 -0.6931471805599453 {7e86c9d1ac1541f48e32ce2ddc81392c,dc3d447a576147a470a56b3018b8effd,}
festiv 2 -0.6931471805599453 {62cf689a8c9ed705ff1b34023a75c18b,}
kne 2 -0.6931471805599453 {62cf689a8c9ed705ff1b34023a75c18b,}
forward 2 -0.6931471805599453 {4040672786e30bfe43f206db72bcb446,}
reacquaint 2 -0.6931471805599453 {a65e7cc47deef437b5a488ca23b94514,}
clement 2 -0.6931471805599453 {efa3299b77b23f2d3a8ac18a03df23fe,}
lead 2 -0.6931471805599453 {b11d8ebe8e64c8c6ec61db990640a546,}
sharp 2 -0.6931471805599453 {13b362449b10dcbe6c93fae705764c28,}
wrong 2 -0.6931471805599453 {a94d0a41a0726663b117bf2886aada34,}
report 2 -0.6931471805599453 {d4f6a813c68303fcbb1c6259e8a4669c,}
stuart 2 -0.6931471805599453 {d8e8ef2e1f1b7af67aa79bec9924fbfe,}
le 2 -0.6931471805599453 {4a554b88320fe60ec46ef9d8b407a94e,}
kempton 2 -0.6931471805599453 {9e48219b0f3a8ecd0255bbc8b3fd01e7,}
grim 2 -0.6931471805599453 {df2e22dc011c5f32df53d60973798acd,}
chels 4 -0.6931471805599453 {13fdecdd67908944914f0dc7655cb079,752b8542402a0106a24dd1bc36946a0a,}
use 2 -0.6931471805599453 {a6dfc4b5afc3f7e7b64720e7c4f26752,}
lab 2 -0.6931471805599453 {efa3299b77b23f2d3a8ac18a03df23fe,}
seren 2 -0.6931471805599453 {b5e00e099dc686af737bee4c07bccd9b,}
spur 2 -0.6931471805599453 {c9f51f6c52ca5825fadbb639c9886cc7,}
fer 2 -0.6931471805599453 {3ed9900e88649c37a08dc45d6fcd2f4f,}
hasselbaink 2 -0.6931471805599453 {3ed9900e88649c37a08dc45d6fcd2f4f,}
burton 2 -0.6931471805599453 {7e86c9d1ac1541f48e32ce2ddc81392c,}
picked 2 -0.6931471805599453 {b23dc44babe2734d1f7e7a698d83e594,}
derby 2 -0.6931471805599453 {efa3299b77b23f2d3a8ac18a03df23fe,}
host 2 -0.6931471805599453 {1483298f2a480c90e9172daeecadd0a2,}
claim 4 -0.6931471805599453 {2097ba3ba0c3df5925a55c06667b6ee5,00ccc065c065fcf583880a46e2603891,}
titl 2 -0.6931471805599453 {b5e00e099dc686af737bee4c07bccd9b,}
day 2 -0.6931471805599453 {c9f51f6c52ca5825fadbb639c9886cc7,}
group 4 -0.6931471805599453 {75a1937faf0808e50acaf4c00c3acf66,f1eda0d27ff74a7258b73700f9120f94,}
lampard 2 -0.6931471805599453 {27a12ebcebacaa2521aa38c3db8244f5,}
england 16 -0.6931471805599453 {f25efce6bdae42ff938c88ccb10fe2d1,b23dc44babe2734d1f7e7a698d83e594,d8e8ef2e1f1b7af67aa79bec9924fbfe,d4f6a813c68303fcbb1c6259e8a4669c,c50a7d7e8aee842c8290f4443c45c2a5,b11d8ebe8e64c8c6ec61db990640a546,4040672786e30bfe43f206db72bcb446,80018d3988d37a96375d6f620ad68bf1,}
hunt 2 -0.6931471805599453 {175ad5dd653e3127d236b4c71555db72,}
king 2 -0.6931471805599453 {c2a6c54a31681cfd555897e0e6f5916e,}
mr 2 -0.6931471805599453 {a94d0a41a0726663b117bf2886aada34,}
touch 2 -0.6931471805599453 {7e86c9d1ac1541f48e32ce2ddc81392c,}
andy 2 -0.6931471805599453 {a65e7cc47deef437b5a488ca23b94514,}
tony 2 -0.6931471805599453 {8468b93222067154f790478b24dd614b,}
task 2 -0.6931471805599453 {85daa8de85208a1f00f4ee99a9bb324d,}
friendl 2 -0.6931471805599453 {f25efce6bdae42ff938c88ccb10fe2d1,}
northampton 2 -0.6931471805599453 {e0cc4d39d3b5b9ae53a9fcfd9fd2640c,}
alan 2 -0.6931471805599453 {df2e22dc011c5f32df53d60973798acd,}
effect 2 -0.6931471805599453 {dc3d447a576147a470a56b3018b8effd,}
hors 2 -0.6931471805599453 {b5e00e099dc686af737bee4c07bccd9b,}
klopp 2 -0.6931471805599453 {dc3d447a576147a470a56b3018b8effd,}
arsenal 2 -0.6931471805599453 {85daa8de85208a1f00f4ee99a9bb324d,}
ferocious 2 -0.6931471805599453 {776c949bbe02abc97b887f3cd921ec91,}
arrival 2 -0.6931471805599453 {175ad5dd653e3127d236b4c71555db72,}
jon 8 -0.6931471805599453 {c2a6c54a31681cfd555897e0e6f5916e,d8e8ef2e1f1b7af67aa79bec9924fbfe,c50a7d7e8aee842c8290f4443c45c2a5,f586fbc827d29c29fa1811c888cda09f,}
best 2 -0.6931471805599453 {4a554b88320fe60ec46ef9d8b407a94e,}
sean 2 -0.6931471805599453 {f516badd6af6875b9c75add9d14b187e,}
point 2 -0.6931471805599453 {7e86c9d1ac1541f48e32ce2ddc81392c,}
jos 6 -0.6931471805599453 {0d13d8409ac64264660c7d89f8338bb9,13fdecdd67908944914f0dc7655cb079,509f8c8fd617437b1c1185f4446b1ba6,}
rom 4 -0.6931471805599453 {1483298f2a480c90e9172daeecadd0a2,ec02e13dc31c98db8911a5efc197a943,}
fixtur 2 -0.6931471805599453 {62cf689a8c9ed705ff1b34023a75c18b,}
eve 2 -0.6931471805599453 {540cd77abefe37a48f3c7640d46ee897,}
uef 4 -0.6931471805599453 {26b9b1544474525e7de17688d2237802,de651deb380cec460a13d2d454d5e452,}
land 2 -0.6931471805599453 {00ccc065c065fcf583880a46e2603891,}
win 6 -0.6931471805599453 {13b362449b10dcbe6c93fae705764c28,b5e00e099dc686af737bee4c07bccd9b,ec02e13dc31c98db8911a5efc197a943,}
roy 2 -0.6931471805599453 {b11d8ebe8e64c8c6ec61db990640a546,}
park 2 -0.6931471805599453 {9e48219b0f3a8ecd0255bbc8b3fd01e7,}
player 8 -0.6931471805599453 {0d13d8409ac64264660c7d89f8338bb9,da7aa0eafa0af8fe09f370a1e502767c,13fdecdd67908944914f0dc7655cb079,509f8c8fd617437b1c1185f4446b1ba6,}
falling 2 -0.6931471805599453 {b2c2b6f7e5f387f2c3c58c1442dbeec1,}
leroy 2 -0.6931471805599453 {3ed9900e88649c37a08dc45d6fcd2f4f,}
finn 4 -0.6931471805599453 {00ccc065c065fcf583880a46e2603891,80018d3988d37a96375d6f620ad68bf1,}
hail 2 -0.6931471805599453 {83f704c10f7ab2687efda937c1ecc3a1,}
sheffield 2 -0.6931471805599453 {13b362449b10dcbe6c93fae705764c28,}
intensity 2 -0.6931471805599453 {3ed9900e88649c37a08dc45d6fcd2f4f,}
maitland 2 -0.6931471805599453 {f516badd6af6875b9c75add9d14b187e,}
wallac 2 -0.6931471805599453 {4a554b88320fe60ec46ef9d8b407a94e,}
mourinho 6 -0.6931471805599453 {0d13d8409ac64264660c7d89f8338bb9,13fdecdd67908944914f0dc7655cb079,509f8c8fd617437b1c1185f4446b1ba6,}
racist 2 -0.6931471805599453 {2097ba3ba0c3df5925a55c06667b6ee5,}
simply 2 -0.6931471805599453 {4a554b88320fe60ec46ef9d8b407a94e,}
